customer_id,name,total_spent,last_purchase,num_reviews
1,Customer_1,27081,2023-09-17,4
2,Customer_2,9347,2023-09-15,2
3,Customer_3,18077,2023-09-13,4
4,Customer_4,25717,2023-09-14,7
5,Customer_5,14913,2023-09-09,2
6,Customer_6,13935,2023-09-17,4
7,Customer_7,16588,2023-09-17,5
8,Customer_8,18716,2023-09-17,5
9,Customer_9,19154,2023-09-02,2
10,Customer_10,7303,2023-09-10,4
11,Customer_11,10798,2023-09-11,4
12,Customer_12,12396,2023-09-10,8
13,Customer_13,11477,2023-09-06,3
14,Customer_14,12088,2023-09-08,3
15,Customer_15,6813,2023-09-14,5
16,Customer_16,5118,2023-09-10,2
17,Customer_17,12571,2023-09-08,4
18,Customer_18,18053,2023-09-17,3
19,Customer_19,14541,2023-09-17,1
20,Customer_20,8692,2023-09-11,3
21,Customer_21,12938,2023-09-16,2
22,Customer_22,5585,2023-09-06,7
23,Customer_23,9115,2023-09-16,5
24,Customer_24,12529,2023-09-16,6
25,Customer_25,19385,2023-09-11,7
26,Customer_26,15166,2023-08-31,4
27,Customer_27,12445,2023-09-15,4
28,Customer_28,8895,2023-09-14,2
29,Customer_29,24997,2023-09-17,5
30,Customer_30,13519,2023-09-07,5
31,Customer_31,13524,2023-09-08,3
32,Customer_32,13700,2023-09-16,4
33,Customer_33,21387,2023-09-16,3
34,Customer_34,10855,2023-09-16,2
35,Customer_35,9513,2023-09-16,5
36,Customer_36,15064,2023-09-11,2
37,Customer_37,13698,2023-09-14,5
38,Customer_38,5920,2023-09-15,6
39,Customer_39,17183,2023-09-10,3
40,Customer_40,20018,2023-09-17,5
41,Customer_41,13682,2023-09-13,1
42,Customer_42,11765,2023-09-13,4
43,Customer_43,11571,2023-09-15,6
44,Customer_44,26529,2023-09-14,9
45,Customer_45,10590,2023-09-07,4
46,Customer_46,5054,2023-08-20,5
47,Customer_47,18816,2023-09-16,4
48,Customer_48,14277,2023-09-16,4
49,Customer_49,9960,2023-09-12,2
50,Customer_50,15666,2023-09-12,3
51,Customer_51,12182,2023-09-12,4
52,Customer_52,24055,2023-09-17,3
53,Customer_53,10870,2023-09-16,4
54,Customer_54,20718,2023-09-06,3
55,Customer_55,21599,2023-09-17,4
56,Customer_56,8484,2023-09-09,3
57,Customer_57,13277,2023-09-05,4
58,Customer_58,6190,2023-09-03,3
59,Customer_59,17269,2023-09-13,2
60,Customer_60,9485,2023-09-13,4
61,Customer_61,9173,2023-09-09,5
62,Customer_62,12165,2023-09-11,6
63,Customer_63,8520,2023-09-14,3
64,Customer_64,11203,2023-09-15,6
65,Customer_65,13744,2023-09-15,3
66,Customer_66,12744,2023-09-14,6
67,Customer_67,9738,2023-09-12,1
68,Customer_68,16865,2023-09-09,4
69,Customer_69,13033,2023-08-31,4
70,Customer_70,21089,2023-09-17,2
71,Customer_71,20065,2023-09-11,1
72,Customer_72,16921,2023-09-12,5
73,Customer_73,11543,2023-09-13,6
74,Customer_74,13928,2023-09-13,2
75,Customer_75,12536,2023-09-07,9
76,Customer_76,17810,2023-09-17,5
77,Customer_77,9784,2023-09-16,3
78,Customer_78,8265,2023-09-09,1
79,Customer_79,4263,2023-09-02,4
80,Customer_80,16463,2023-09-01,0
81,Customer_81,16974,2023-09-17,3
82,Customer_82,4569,2023-09-17,9
83,Customer_83,9293,2023-09-01,7
84,Customer_84,18607,2023-09-17,6
85,Customer_85,15927,2023-09-17,3
86,Customer_86,16742,2023-09-15,3
87,Customer_87,9127,2023-08-28,3
88,Customer_88,10054,2023-09-11,3
89,Customer_89,6423,2023-09-15,3
90,Customer_90,12273,2023-09-10,6
91,Customer_91,5291,2023-09-14,3
92,Customer_92,22082,2023-09-12,8
93,Customer_93,11629,2023-09-08,2
94,Customer_94,13748,2023-09-15,3
95,Customer_95,15531,2023-09-11,6
96,Customer_96,12264,2023-09-15,4
97,Customer_97,6088,2023-09-09,2
98,Customer_98,8915,2023-09-11,5
99,Customer_99,13181,2023-09-17,4
100,Customer_100,20744,2023-09-06,5
